1.0000000000,4.0000000000,0.5000000000,0.3386310138
1.0000000000,4.0000000000,3.5000000000,0.0565462199
1.0000000000,5.0000000000,0.5000000000,0.5064524779
1.0000000000,5.0000000000,3.5000000000,0.0773721944
1.0000000000,6.0000000000,0.5000000000,0.7061228882
1.0000000000,6.0000000000,3.5000000000,0.1026414940
2.0000000000,4.0000000000,0.5000000000,0.1388351142
2.0000000000,4.0000000000,3.5000000000,0.0441982845
2.0000000000,5.0000000000,0.5000000000,0.2045436901
2.0000000000,5.0000000000,3.5000000000,0.0582554295
2.0000000000,6.0000000000,0.5000000000,0.2806984671
2.0000000000,6.0000000000,3.5000000000,0.0752942397
3.0000000000,4.0000000000,0.5000000000,0.0807110030
3.0000000000,4.0000000000,3.5000000000,0.0370262100
3.0000000000,5.0000000000,0.5000000000,0.1148292482
3.0000000000,5.0000000000,3.5000000000,0.0471774623
3.0000000000,6.0000000000,0.5000000000,0.1563140917
3.0000000000,6.0000000000,3.5000000000,0.0594599511
