,setup,model,mse,predictors,correlation,sens,spec,prec,params
236,ATXN3_body,composite,0.14827528060173842,1,,,,,Vote threshold=0.5
3116,ATXN3_prom,composite,0.14978732212532844,2,,,,,Vote threshold=0.5
242,AURKA_body,composite,0.5783894428548072,7,,,,,Vote threshold=0.5
248,AURKB_body,composite,0.46052292566591602,7,,,,,Vote threshold=0.5
3122,AURKB_prom,composite,0.65913378653326238,9,,,,,Vote threshold=0.5
254,AVPR1A_body,composite,0.47023596277168661,5,,,,,Vote threshold=0.5
3128,AVPR1A_prom,composite,0.46207589582019787,7,,,,,Vote threshold=0.5
260,B4GALNT1_body,composite,0.52868820823652962,3,,,,,Vote threshold=0.5
3134,B4GALNT1_prom,composite,0.55228286176133201,10,,,,,Vote threshold=0.5
266,B4GALT6_body,composite,0.28845152289374226,7,,,,,Vote threshold=0.5
3140,B4GALT6_prom,composite,0.28988207675464339,5,,,,,Vote threshold=0.5
272,BARX2_body,composite,0.81935068171187553,6,,,,,Vote threshold=0.5
3146,BARX2_prom,composite,0.79784724289339382,6,,,,,Vote threshold=0.5
278,BCL2_body,composite,1.3117370088297742,12,,,,,Vote threshold=0.5
3152,BCL2_prom,composite,1.1318087115383955,14,,,,,Vote threshold=0.5
3158,BIRC5_prom,composite,0.84986368126621725,8,,,,,Vote threshold=0.5
284,BLM_body,composite,0.75340721632208196,8,,,,,Vote threshold=0.5
3164,BLM_prom,composite,0.81120036812323826,9,,,,,Vote threshold=0.5
290,BMP10_body,composite,0.092660456808907582,0,,,,,Vote threshold=0.5
3170,BMP10_prom,composite,0.092660456808907582,0,,,,,Vote threshold=0.5
296,BMP5_body,composite,0.49112370865608584,11,,,,,Vote threshold=0.5
3176,BMP5_prom,composite,0.50568395478689521,9,,,,,Vote threshold=0.5
302,BRAF_body,composite,0.57309411879319905,5,,,,,Vote threshold=0.5
3182,BRAF_prom,composite,0.57643298891766392,3,,,,,Vote threshold=0.5
308,BRCA1_body,composite,0.43471339530987907,15,,,,,Vote threshold=0.5
314,BRCA2_body,composite,0.84451265707477197,8,,,,,Vote threshold=0.5
3188,BRCA2_prom,composite,0.81617860360479155,10,,,,,Vote threshold=0.5
320,BRS3_body,composite,0.10769536938036375,1,,,,,Vote threshold=0.5
3194,BRS3_prom,composite,0.10737283670688998,1,,,,,Vote threshold=0.5
326,BRWD1_body,composite,0.22577911228787464,2,,,,,Vote threshold=0.5
3200,BRWD1_prom,composite,0.22923383086018265,3,,,,,Vote threshold=0.5
332,BTC_body,composite,0.82943309250939812,12,,,,,Vote threshold=0.5
3206,BTC_prom,composite,0.97274593393616515,8,,,,,Vote threshold=0.5
344,BUB1B_body,composite,0.69667746956631205,8,,,,,Vote threshold=0.5
3218,BUB1B_prom,composite,0.83982013520550625,7,,,,,Vote threshold=0.5
338,BUB1_body,composite,1.0044794434085091,8,,,,,Vote threshold=0.5
3212,BUB1_prom,composite,1.1904926242728402,9,,,,,Vote threshold=0.5
350,CACNB4_body,composite,0.99243617065802947,5,,,,,Vote threshold=0.5
3224,CACNB4_prom,composite,1.1050145290106801,3,,,,,Vote threshold=0.5
356,CALCB_body,composite,2.5234204192906029,15,,,,,Vote threshold=0.5
3230,CALCB_prom,composite,2.0984102149516328,12,,,,,Vote threshold=0.5
362,CAPN6_body,composite,2.9458324068974,18,,,,,Vote threshold=0.5
3236,CAPN6_prom,composite,2.303008823923312,19,,,,,Vote threshold=0.5
368,CASP2_body,composite,0.14005354206511719,2,,,,,Vote threshold=0.5
3242,CASP2_prom,composite,0.14382435447874606,1,,,,,Vote threshold=0.5
374,CASR_body,composite,0.1829648227681058,6,,,,,Vote threshold=0.5
3248,CASR_prom,composite,0.17473679783533477,2,,,,,Vote threshold=0.5
380,CBL_body,composite,0.15155514058526545,8,,,,,Vote threshold=0.5
3254,CBL_prom,composite,0.16509023320252533,5,,,,,Vote threshold=0.5
386,CCKAR_body,composite,0.17714205372889419,3,,,,,Vote threshold=0.5
3260,CCKAR_prom,composite,0.1844813098527259,1,,,,,Vote threshold=0.5
392,CCNA2_body,composite,0.7110141845429534,8,,,,,Vote threshold=0.5
3266,CCNA2_prom,composite,1.0936187750577904,10,,,,,Vote threshold=0.5
398,CCNB2_body,composite,0.64225213583745056,7,,,,,Vote threshold=0.5
3272,CCNB2_prom,composite,0.77486763790019197,10,,,,,Vote threshold=0.5
404,CCNE1_body,composite,0.85454398478458726,10,,,,,Vote threshold=0.5
3278,CCNE1_prom,composite,0.84079410246265229,10,,,,,Vote threshold=0.5
410,CCNE2_body,composite,0.76009060824077324,7,,,,,Vote threshold=0.5
3284,CCNE2_prom,composite,0.75015720131369223,9,,,,,Vote threshold=0.5
416,CCNF_body,composite,0.38968537806089615,9,,,,,Vote threshold=0.5
3290,CCNF_prom,composite,0.39158409444529524,9,,,,,Vote threshold=0.5
422,CCR3_body,composite,0.30220502332852839,4,,,,,Vote threshold=0.5
3296,CCR3_prom,composite,0.28561066895548731,4,,,,,Vote threshold=0.5
428,CCR4_body,composite,0.2328036459512654,7,,,,,Vote threshold=0.5
