model,mse mean,mse std,correlation mean,correlation std,sens mean,sens std,spec mean,spec std,prec mean,prec std
lasso,20.7775346913,13.7391455134,0.786027206222,0.127993780119,0.643409090909,0.130190168009,0.777104546416,0.0804967072885,0.46110836749,0.175414565587
enet,19.7798369256,13.1462708613,0.770546310029,0.11862973586,0.764090909091,0.11102628492,0.788190421998,0.106982134044,0.520817077767,0.19629872841
grace,18.4610928646,13.3356458603,0.816422132902,0.122466591615,0.835625,0.150340064223,0.66141329259,0.281491769218,0.466204384114,0.171728783773
gblasso,19.0598035902,12.1259442357,0.673996195805,0.17721672536,0.994943181818,0.0118121706741,0.16404714122,0.14881225803,0.281647003147,0.158282992557
linf,18.038943149,11.9906220903,0.744958436258,0.153454397757,0.99,0.0199723874198,0.810595720294,0.113796684985,0.605995321996,0.22159541323
composite,38.2867520235,29.6567270714,0.588151794633,0.173035896268,0.856439393939,0.137258824037,0.774873127949,0.0989335811358,0.527726359778,0.198094113743
