Dataset,Method,MSE,STD
Body,composite,0.659138131344,0.744071666703
Body,enet,0.664969582414,0.73970676752
Body,grace,0.654536847747,0.727751555691
Body,lasso,0.66811830674,0.745962539708
Prom,composite,0.649136390038,0.700439529189
Prom,enet,0.673496011599,0.748493818687
Prom,grace,0.65959871546,0.722291002173
Prom,lasso,0.676774086994,0.75244165631
