Dataset,Method,Resolved,Unresolved,Influencing,Non-influencing
Body,Composite,472.0,7.0,224.0,255.0
Body,Enet,473.0,6.0,242.0,237.0
Body,Grace,474.0,5.0,234.0,245.0
Body,Lasso,470.0,9.0,205.0,274.0
Prom,Composite,458.0,10.0,162.0,306.0
Prom,Enet,458.0,10.0,166.0,302.0
Prom,Grace,461.0,7.0,175.0,293.0
Prom,Lasso,453.0,15.0,151.0,317.0
