,setup,model,mse,predictors,correlation,sens,spec,prec,params
2420,ADCYAP1_prom,composite,1.4278262300328584,5,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
2422,ADCYAP1_prom,enet,1.340877837192856,5,,,,,"alpha=0.04, l1_ratio=0.99"
2423,ADCYAP1_prom,grace,1.3264196903043373,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2424,ADCYAP1_prom,lasso,1.3421107641874674,4,,,,,alpha=0.04
31,ADH6_body,agrace,0.2705630322857539,479,,,,,"lambda 1=10.0, lambda 2=0.01"
30,ADH6_body,composite,0.27881493168258487,7,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
32,ADH6_body,enet,0.26967447201995398,7,,,,,"alpha=0.04, l1_ratio=0.99"
33,ADH6_body,grace,0.27056022922047518,479,,,,,"lambda 1=10.0, lambda 2=0.01"
34,ADH6_body,lasso,0.26845826361469577,5,,,,,alpha=0.04
2426,ADH6_prom,agrace,0.29378480728174922,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2425,ADH6_prom,composite,0.31012315466689916,6,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
2427,ADH6_prom,enet,0.29022791801268544,6,,,,,"alpha=0.04, l1_ratio=0.99"
2428,ADH6_prom,grace,0.29378511593452428,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2429,ADH6_prom,lasso,0.29058177220864778,5,,,,,alpha=0.04
36,ADORA1_body,agrace,1.6318151747475031,479,,,,,"lambda 1=10.0, lambda 2=0.01"
35,ADORA1_body,composite,1.6734949534376369,6,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
37,ADORA1_body,enet,1.628490164189657,6,,,,,"alpha=0.04, l1_ratio=0.99"
38,ADORA1_body,grace,1.6318151768021449,479,,,,,"lambda 1=10.0, lambda 2=0.01"
39,ADORA1_body,lasso,1.628508996528176,6,,,,,alpha=0.04
2431,ADORA1_prom,agrace,1.5779822581224554,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2430,ADORA1_prom,composite,1.5624020674172248,7,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
2432,ADORA1_prom,enet,1.5957727444441463,5,,,,,"alpha=0.04, l1_ratio=0.99"
2433,ADORA1_prom,grace,1.5779822211113943,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2434,ADORA1_prom,lasso,1.5959908653247774,5,,,,,alpha=0.04
41,ADRA1A_body,agrace,0.13560390614640025,479,,,,,"lambda 1=10.0, lambda 2=0.01"
40,ADRA1A_body,composite,0.1432933600829395,3,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
42,ADRA1A_body,enet,0.1352992721021265,3,,,,,"alpha=0.04, l1_ratio=0.99"
43,ADRA1A_body,grace,0.13560390556266527,479,,,,,"lambda 1=10.0, lambda 2=0.01"
44,ADRA1A_body,lasso,0.13528782224352948,3,,,,,alpha=0.04
2436,ADRA1A_prom,agrace,0.13834387294653963,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2435,ADRA1A_prom,composite,0.14841825894793589,6,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
2437,ADRA1A_prom,enet,0.13743638372447733,5,,,,,"alpha=0.04, l1_ratio=0.99"
2438,ADRA1A_prom,grace,0.13834386686329592,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2439,ADRA1A_prom,lasso,0.13741375201289191,5,,,,,alpha=0.04
46,AFF2_body,agrace,0.50671273135369577,479,,,,,"lambda 1=10.0, lambda 2=0.01"
45,AFF2_body,composite,0.51239134283959475,4,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
