,setup,model,mse,predictors,correlation,sens,spec,prec,params
195,ATXN3_body,composite,0.14827528060173842,1,,,,,Vote threshold=0.5
2595,ATXN3_prom,composite,0.14978732212532844,2,,,,,Vote threshold=0.5
200,AURKA_body,composite,0.5783894428548072,7,,,,,Vote threshold=0.5
205,AURKB_body,composite,0.46052292566591602,7,,,,,Vote threshold=0.5
2600,AURKB_prom,composite,0.65913378653326238,9,,,,,Vote threshold=0.5
210,AVPR1A_body,composite,0.47023596277168661,5,,,,,Vote threshold=0.5
2605,AVPR1A_prom,composite,0.46207589582019787,7,,,,,Vote threshold=0.5
215,B4GALNT1_body,composite,0.52868820823652962,3,,,,,Vote threshold=0.5
2610,B4GALNT1_prom,composite,0.55228286176133201,10,,,,,Vote threshold=0.5
220,B4GALT6_body,composite,0.28845152289374226,7,,,,,Vote threshold=0.5
2615,B4GALT6_prom,composite,0.28988207675464339,5,,,,,Vote threshold=0.5
225,BARX2_body,composite,0.81935068171187553,6,,,,,Vote threshold=0.5
2620,BARX2_prom,composite,0.79784724289339382,6,,,,,Vote threshold=0.5
230,BCL2_body,composite,1.3117370088297742,12,,,,,Vote threshold=0.5
2625,BCL2_prom,composite,1.1318087115383955,14,,,,,Vote threshold=0.5
2630,BIRC5_prom,composite,0.84986368126621725,8,,,,,Vote threshold=0.5
235,BLM_body,composite,0.75340721632208196,8,,,,,Vote threshold=0.5
2635,BLM_prom,composite,0.81120036812323826,9,,,,,Vote threshold=0.5
240,BMP10_body,composite,0.092660456808907582,0,,,,,Vote threshold=0.5
2640,BMP10_prom,composite,0.092660456808907582,0,,,,,Vote threshold=0.5
245,BMP5_body,composite,0.49112370865608584,11,,,,,Vote threshold=0.5
2645,BMP5_prom,composite,0.50568395478689521,9,,,,,Vote threshold=0.5
250,BRAF_body,composite,0.57309411879319905,5,,,,,Vote threshold=0.5
2650,BRAF_prom,composite,0.57643298891766392,3,,,,,Vote threshold=0.5
255,BRCA1_body,composite,0.43471339530987907,15,,,,,Vote threshold=0.5
260,BRCA2_body,composite,0.84451265707477197,8,,,,,Vote threshold=0.5
2655,BRCA2_prom,composite,0.81617860360479155,10,,,,,Vote threshold=0.5
265,BRS3_body,composite,0.10769536938036375,1,,,,,Vote threshold=0.5
2660,BRS3_prom,composite,0.10737283670688998,1,,,,,Vote threshold=0.5
270,BRWD1_body,composite,0.22577911228787464,2,,,,,Vote threshold=0.5
2665,BRWD1_prom,composite,0.22923383086018265,3,,,,,Vote threshold=0.5
275,BTC_body,composite,0.82943309250939812,12,,,,,Vote threshold=0.5
2670,BTC_prom,composite,0.97274593393616515,8,,,,,Vote threshold=0.5
285,BUB1B_body,composite,0.69667746956631205,8,,,,,Vote threshold=0.5
2680,BUB1B_prom,composite,0.83982013520550625,7,,,,,Vote threshold=0.5
280,BUB1_body,composite,1.0044794434085091,8,,,,,Vote threshold=0.5
2675,BUB1_prom,composite,1.1904926242728402,9,,,,,Vote threshold=0.5
290,CACNB4_body,composite,0.99243617065802947,5,,,,,Vote threshold=0.5
2685,CACNB4_prom,composite,1.1050145290106801,3,,,,,Vote threshold=0.5
295,CALCB_body,composite,2.5234204192906029,15,,,,,Vote threshold=0.5
2690,CALCB_prom,composite,2.0984102149516328,12,,,,,Vote threshold=0.5
300,CAPN6_body,composite,2.9458324068974,18,,,,,Vote threshold=0.5
2695,CAPN6_prom,composite,2.303008823923312,19,,,,,Vote threshold=0.5
305,CASP2_body,composite,0.14005354206511719,2,,,,,Vote threshold=0.5
2700,CASP2_prom,composite,0.14382435447874606,1,,,,,Vote threshold=0.5
310,CASR_body,composite,0.1829648227681058,6,,,,,Vote threshold=0.5
2705,CASR_prom,composite,0.17473679783533477,2,,,,,Vote threshold=0.5
315,CBL_body,composite,0.15155514058526545,8,,,,,Vote threshold=0.5
2710,CBL_prom,composite,0.16509023320252533,5,,,,,Vote threshold=0.5
320,CCKAR_body,composite,0.17714205372889419,3,,,,,Vote threshold=0.5
2715,CCKAR_prom,composite,0.1844813098527259,1,,,,,Vote threshold=0.5
325,CCNA2_body,composite,0.7110141845429534,8,,,,,Vote threshold=0.5
2720,CCNA2_prom,composite,1.0936187750577904,10,,,,,Vote threshold=0.5
330,CCNB2_body,composite,0.64225213583745056,7,,,,,Vote threshold=0.5
2725,CCNB2_prom,composite,0.77486763790019197,10,,,,,Vote threshold=0.5
335,CCNE1_body,composite,0.85454398478458726,10,,,,,Vote threshold=0.5
2730,CCNE1_prom,composite,0.84079410246265229,10,,,,,Vote threshold=0.5
340,CCNE2_body,composite,0.76009060824077324,7,,,,,Vote threshold=0.5
2735,CCNE2_prom,composite,0.75015720131369223,9,,,,,Vote threshold=0.5
345,CCNF_body,composite,0.38968537806089615,9,,,,,Vote threshold=0.5
2740,CCNF_prom,composite,0.39158409444529524,9,,,,,Vote threshold=0.5
350,CCR3_body,composite,0.30220502332852839,4,,,,,Vote threshold=0.5
2745,CCR3_prom,composite,0.28561066895548731,4,,,,,Vote threshold=0.5
355,CCR4_body,composite,0.2328036459512654,7,,,,,Vote threshold=0.5
2750,CCR4_prom,composite,0.22593666228523457,3,,,,,Vote threshold=0.5
360,CDC14A_body,composite,1.1079703205357316,2,,,,,Vote threshold=0.5
2755,CDC14A_prom,composite,0.99681151520276368,4,,,,,Vote threshold=0.5
365,CDC20_body,composite,0.62078378074886287,7,,,,,Vote threshold=0.5
2760,CDC20_prom,composite,0.6033247781412675,8,,,,,Vote threshold=0.5
370,CDC25A_body,composite,0.36518145970789062,6,,,,,Vote threshold=0.5
2765,CDC25A_prom,composite,0.49495584498351874,9,,,,,Vote threshold=0.5
375,CDC25C_body,composite,0.61461010876208477,10,,,,,Vote threshold=0.5
2770,CDC25C_prom,composite,0.68653180640488876,8,,,,,Vote threshold=0.5
380,CDC27_body,composite,0.13586950642895518,5,,,,,Vote threshold=0.5
2775,CDC27_prom,composite,0.12875628634951494,4,,,,,Vote threshold=0.5
385,CDC5L_body,composite,0.24683367267501619,3,,,,,Vote threshold=0.5
2780,CDC5L_prom,composite,0.25168744248662261,3,,,,,Vote threshold=0.5
390,CDC6_body,composite,1.2755923280732082,8,,,,,Vote threshold=0.5
2785,CDC6_prom,composite,1.1337389447661292,13,,,,,Vote threshold=0.5
395,CDC7_body,composite,0.90183681564030849,6,,,,,Vote threshold=0.5
2790,CDC7_prom,composite,0.82093658078255316,7,,,,,Vote threshold=0.5
400,CDH1_body,composite,1.4269637807772089,10,,,,,Vote threshold=0.5
2795,CDH1_prom,composite,1.3278557911643356,10,,,,,Vote threshold=0.5
405,CDH6_body,composite,0.35027049934471011,8,,,,,Vote threshold=0.5
2800,CDH6_prom,composite,0.30402137981458693,8,,,,,Vote threshold=0.5
410,CDH8_body,composite,0.40552144101949456,3,,,,,Vote threshold=0.5
2805,CDH8_prom,composite,0.40744711119295401,3,,,,,Vote threshold=0.5
415,CDK2_body,composite,0.35406014384741435,7,,,,,Vote threshold=0.5
420,CDK5R1_body,composite,0.32541057275801133,3,,,,,Vote threshold=0.5
2810,CDK5R1_prom,composite,0.35850140930243224,3,,,,,Vote threshold=0.5
425,CDK6_body,composite,0.55141395018294215,15,,,,,Vote threshold=0.5
2815,CDK6_prom,composite,0.70855196541926679,10,,,,,Vote threshold=0.5
430,CDKL1_body,composite,0.26362966417637984,3,,,,,Vote threshold=0.5
2820,CDKL1_prom,composite,0.24390924611705639,2,,,,,Vote threshold=0.5
435,CDKL2_body,composite,1.1892111241361705,5,,,,,Vote threshold=0.5
2825,CDKL2_prom,composite,0.56498039417887314,7,,,,,Vote threshold=0.5
440,CDT1_body,composite,0.44455759554014179,13,,,,,Vote threshold=0.5
2830,CDT1_prom,composite,0.57705123122321045,16,,,,,Vote threshold=0.5
445,CEACAM5_body,composite,3.0610813299972883,17,,,,,Vote threshold=0.5
2835,CEACAM5_prom,composite,3.0353308363243974,16,,,,,Vote threshold=0.5
450,CENPA_body,composite,0.87088985682446496,11,,,,,Vote threshold=0.5
2840,CENPA_prom,composite,0.8716277871543251,9,,,,,Vote threshold=0.5
455,CENPE_body,composite,0.7519389720920846,7,,,,,Vote threshold=0.5
2845,CENPE_prom,composite,0.80698741253960193,9,,,,,Vote threshold=0.5
460,CENPF_body,composite,0.87629140771900327,6,,,,,Vote threshold=0.5
2850,CENPF_prom,composite,0.92978152618328791,5,,,,,Vote threshold=0.5
465,CENPI_body,composite,0.59887958276804054,9,,,,,Vote threshold=0.5
2855,CENPI_prom,composite,0.74632581460368574,5,,,,,Vote threshold=0.5
470,CEP152_body,composite,0.3068885150376468,22,,,,,Vote threshold=0.5
2860,CEP152_prom,composite,0.27060562006127414,14,,,,,Vote threshold=0.5
475,CFTR_body,composite,0.73329699772589352,6,,,,,Vote threshold=0.5
2865,CFTR_prom,composite,0.78832528761775644,6,,,,,Vote threshold=0.5
480,CHAF1A_body,composite,0.28621938960357679,4,,,,,Vote threshold=0.5
2870,CHAF1A_prom,composite,0.27794496330605317,5,,,,,Vote threshold=0.5
485,CHAF1B_body,composite,0.83053045504607526,7,,,,,Vote threshold=0.5
2875,CHAF1B_prom,composite,0.86940204032966695,6,,,,,Vote threshold=0.5
490,CHEK1_body,composite,0.60352486814315587,5,,,,,Vote threshold=0.5
2880,CHEK1_prom,composite,0.66812384875906006,7,,,,,Vote threshold=0.5
495,CHRNA6_body,composite,0.57765766789357909,5,,,,,Vote threshold=0.5
2885,CHRNA6_prom,composite,0.62823291028617811,7,,,,,Vote threshold=0.5
500,CHUK_body,composite,0.29194769599075759,3,,,,,Vote threshold=0.5
2890,CHUK_prom,composite,0.27951674522303543,3,,,,,Vote threshold=0.5
505,CIITA_body,composite,0.26720250323540262,12,,,,,Vote threshold=0.5
